ID,PARENT,PARENT_IAU,ID_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE
Mercury,Sol,10,Mercury,2451545,58343170,0.2056,29.124,174.8,7.00487,48.331,7600530,0.027,2439.4,22031.868,5067014,FALSE,TerrestrialBody
Venus,Sol,10,Venus,2451545,107710467,0.0068,54.891,50.1,3.39458,76.68,19413936,177.4,6051.84,324858.592,20996755,TRUE,AtmosphericBody
Earth,Sol,10,Earth,2451545,149597870,0.0167,114.207,358.6,0.00005,-11.261,31579397,23.44,6371,398600.435,86162,FALSE,TerrestrialBody
Mars,Sol,10,Mars,2451545,227939134,0.0934,286.537,19.35,1.85061,49.558,59354318,25.19,3389.9,42828.38,88639,FALSE,AtmosphericBody
Jupiter,Sol,10,Jupiter,2451545,778567158,0.0489,273.867,18.81,1.3053,100.464,374501014,3.1,69911,126686531.9,35730,FALSE,AtmosphericBody
Saturn,Sol,10,Saturn,2451545,1433147601,0.0565,388.911,320.4,2.48446,113.665,935900222,26.73,58232,37931206.234,38358,FALSE,AtmosphericBody
Uranus,Sol,10,Uranus,2451545,2875271074,0.0461,96.541,142.89,0.76986,74.229,2661194504,97.77,25362,5793950.6103,62064,FALSE,AtmosphericBody
Neptune,Sol,10,Neptune,2451545,4495416014,0.0097,272.846,266.1,1.75917,131.721,5209777483,28.32,24624,6835099.97,57996,FALSE,AtmosphericBody
Pluto,Sol,10,134340,2451545,5906123934,0.2488,113.76329,14.14,17.14175,110.30347,7855647934,122,1188.3,869.326,551844,FALSE,TerrestrialBody
Luna,Earth,3,Luna,2451545,377235,0.06315,308.9,146.67,5.2403,123.958,2334196,6.68,1737.53,4902.8,0,FALSE,TerrestrialBody
Phobos,Mars,4,401,2451545,9375,0.015,216.3,189.7,1.093,169.2,27536,0,11.08,0.0007087,27561.6,FALSE,TerrestrialBody
Deimos,Mars,4,402,2451545,23457,0.00033,0,205,1.788,54.3,109080,0.9,6.2,0.0000962,109123.2,FALSE,TerrestrialBody
Io,Jupiter,5,501,2451545,421800,0.004,49.1,330.9,0,0,152300,0,1821.49,5959.9155,0,FALSE,TerrestrialBody
Europa,Jupiter,5,502,2451545,671100,0.009,45,345.4,0.5,184,304600,0,1560.8,3202.7121,0,FALSE,TerrestrialBody
Ganymede,Jupiter,5,503,2451545,1070400,0.001,198.3,324.8,0.2,58.5,618243,0.1,2631.2,9887.8328,0,FALSE,TerrestrialBody
Callisto,Jupiter,5,504,2451545,1882700,0.007,43.8,87.4,0.3,309.1,1442054,0.4,2410.3,7179.2834,0,FALSE,TerrestrialBody
Amalthea,Jupiter,5,505,2451545,181400,0.003,180.1,310.6,0.4,282.9,43193,0,83.5,0.16456,0,FALSE,TerrestrialBody
Thebe,Jupiter,5,514,2451545,221900,0.018,26.6,182.1,1.1,340.4,58415,0,49.3,0.03015,0,FALSE,TerrestrialBody
Adrastea,Jupiter,5,515,2451545,129000,0.0015,0,214.5,0,0,25770,0,8.2,0.00014,0,FALSE,TerrestrialBody
Metis,Jupiter,5,516,2451545,128000,0.0002,0,166,0,0,25469,0,21.5,0.0025,0,FALSE,TerrestrialBody
Himalia,Jupiter,5,506,2451545,11439000,0.16,321.1,78.3,28.4,64.2,21592138,0,85,0.151552,34560,FALSE,TerrestrialBody
Elara,Jupiter,5,507,2451545,11710700,0.212,129.9,346.9,27.8,112.8,22367759,0,40,0.01802061,43200,FALSE,TerrestrialBody
Pasiphae,Jupiter,5,508,2451545,23463200,0.412,172.8,279.3,148.3,315.7,63454018,0,18,0.0066743,86400,FALSE,TerrestrialBody
Sinope,Jupiter,5,509,2451545,23679300,0.262,354.3,157.4,157.3,308,64333017,0,14,0.001468346,47376,FALSE,TerrestrialBody
Lysithea,Jupiter,5,510,2451545,11699100,0.117,48.3,328.5,27.7,9.2,22334702,0,21,0.002602977,46008,FALSE,TerrestrialBody
Carme,Jupiter,5,511,2451545,23139200,0.261,6.5,259.5,164.6,115.5,62145844,0,23.4,0.003604122,37440,FALSE,TerrestrialBody
Ananke,Jupiter,5,512,2451545,21029500,0.238,78.8,271.7,147.6,13.7,53836678,0,14.5,0.000867659,29916,FALSE,TerrestrialBody
Leda,Jupiter,5,513,2451545,11145200,0.162,271.3,232.6,28.2,216.9,20764201,0,10.7,0.0003470636,86400,FALSE,TerrestrialBody
Callirrhoe,Jupiter,5,517,2451545,23789400,0.29,13.5,117.9,144.9,278.2,64781942,0,4.8,0.00003070178,35640,FALSE,TerrestrialBody
Themisto,Jupiter,5,518,2451545,7397000,0.257,236.3,289.1,44.3,202.7,11229244,0,4.5,0.00002536234,86400,FALSE,TerrestrialBody
Magaclite,Jupiter,5,519,2451545,23640100,0.421,309.9,116.1,149.9,292.2,64175458,0,3,0.000004338295,35640,FALSE,TerrestrialBody
Taygete,Jupiter,5,520,2451545,23103400,0.257,207.7,116.5,164.7,300.8,61999923,0,2.5,0.000004338295,86400,FALSE,TerrestrialBody
Chaldene,Jupiter,5,521,2451545,22926300,0.261,231.6,275.3,164.7,134.5,61288920,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Harpalyke,Jupiter,5,522,2451545,20887500,0.239,104.3,255.4,147.8,35.6,53290077,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Kalyke,Jupiter,5,523,2451545,23298000,0.261,240.5,224.9,164.7,37.7,62786940,0,3.5,0.00001134631,86400,FALSE,TerrestrialBody
Iocaste,Jupiter,5,524,2451545,21062300,0.223,91.4,182,148.7,268.9,53960939,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Erinome,Jupiter,5,525,2451545,23027200,0.272,359.9,273.1,164.3,311.2,61694283,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Isonoe,Jupiter,5,526,2451545,22976300,0.249,131,116.3,164.9,134.1,61487459,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Praxidike,Jupiter,5,527,2451545,20931100,0.245,182.5,128,148.2,281.3,53457659,0,3.5,0.00001201374,86400,FALSE,TerrestrialBody
Autonoe,Jupiter,5,528,2451545,23785200,0.326,61.2,134,150.7,264.8,64766278,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Thyone,Jupiter,5,529,2451545,20972700,0.235,105.1,242.5,147.6,240.8,53618760,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Hermippe,Jupiter,5,530,2451545,21103600,0.22,277.2,158.6,150.2,330.3,54119223,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Aitne,Jupiter,5,531,2451545,23059400,0.273,72.2,120.6,164.5,358.4,61822621,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Eurydome,Jupiter,5,532,2451545,22894500,0.287,223.4,281.8,148.9,297.7,61158836,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Euanthe,Jupiter,5,533,2451545,20822900,0.243,312.4,353.5,148.1,265.2,53043362,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Euporie,Jupiter,5,534,2451545,19261900,0.148,109.5,56.4,145.5,63.4,47189762,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Orthosie,Jupiter,5,535,2451545,20897800,0.294,244.7,161.1,144.2,212.4,53329078,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Sponde,Jupiter,5,536,2451545,23538700,0.323,56.6,177.4,149.4,109.3,63759243,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Kale,Jupiter,5,537,2451545,23047800,0.262,69.2,175.9,164.6,56.7,61777382,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Pasithee,Jupiter,5,538,2451545,22840800,0.274,207.9,237.8,164.5,318,60947338,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Hegemone,Jupiter,5,539,2451545,23342600,0.357,192.2,241.1,152.5,311.5,62966100,0,1.5,0.0000000934402,86400,FALSE,TerrestrialBody
Mneme,Jupiter,5,540,2451545,20815800,0.24,50.1,236.1,147.8,0.9,53015939,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Aoede,Jupiter,5,541,2451545,23773100,0.437,43.1,207.6,155.7,156.5,64719717,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Thelxinoe,Jupiter,5,542,2451545,20972300,0.229,307,275.1,150.7,174.9,53615157,0,1,0.000002803206,86400,FALSE,TerrestrialBody
Arche,Jupiter,5,543,2451545,23093200,0.263,172.5,34,164.5,333.3,61957924,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Kallichore,Jupiter,5,544,2451545,23017100,0.253,352.6,66.8,164.7,23.9,61654444,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Helike,Jupiter,5,545,2451545,20911400,0.155,305.1,45.8,154.4,94.6,53383320,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Carpo,Jupiter,5,546,2451545,17039500,0.415,90.5,336.6,53.3,52.1,39260160,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Eukelade,Jupiter,5,547,2451545,23062400,0.274,290.1,234.2,164.7,200.4,61835340,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Cyllene,Jupiter,5,548,2451545,23650000,0.421,174.6,153.3,146.8,253.6,64213016,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
