ID,ID_IAU,PARENT,PARENT_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE,GROUP,BODY_TYPE
Chaldene,521,Jupiter,599,2451545,23426734.0,0.2024,227.34,275.50,167.73,132.20,63296874,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Carme,MinorBody
Harpalyke,522,Jupiter,599,2451545,21571830.1,0.2545,100.66,255.48,148.73,34.22,55930040,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Kalyke,523,Jupiter,599,2451545,22250664.9,0.3039,232.92,224.98,165.21,32.17,58590760,0,3.5,0.00001134631,86400,FALSE,TerrestrialBody,Carme,MinorBody
Iocaste,524,Jupiter,599,2451545,21118019.0,0.2424,95.31,182.03,148.13,274.01,54174437,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Erinome,525,Jupiter,599,2451545,23508755.0,0.3237,2.63,273.20,159.22,315.58,63629585,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Carme,MinorBody
Isonoe,526,Jupiter,599,2451545,23872480.1,0.1519,126.70,116.35,168.04,131.64,65111988,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Carme,MinorBody
Praxidike,527,Jupiter,599,2451545,20448947.9,0.1814,185.55,127.94,141.88,285.45,51620368,0,3.5,0.00001201374,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Autonoe,528,Jupiter,599,2451545,24864711.4,0.2155,65.42,134.04,149.55,270.17,69213335,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Thyone,529,Jupiter,599,2451545,20601575.8,0.4302,109.48,242.58,150.10,246.37,52199375,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Hermippe,530,Jupiter,599,2451545,21296572.0,0.1831,277.81,158.47,147.72,332.56,54862955,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Aitne,531,Jupiter,599,2451545,22197905.5,0.3779,69.40,120.56,163.71,357.50,58382494,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Carme,MinorBody
