ID,ID_JPLREF,PARENT,PARENT_JPLREF,EPOCH,REF_FRAME,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,TP_TIME_DAYS,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,ROT_FRAME,TILT_OBLIQUITY_DEG,TILT_AZIMUTH_DEG,PARENT_ROT_LONG,MEAN_RADIUS_KM,GM_KM3/S2,SIDEREAL_PERIOD_SEC,RETROGRADE_ROT,GROUP,BODY_TYPE
Ananke,512,Jupiter,599,2451545.0,Ecliptic,21054682.764,0.3092,78.720,159.7989,271.820,149.99,13.693,53836678,Perifocal,0,0,0,14.5,0.000867659,29916,TRUE,Ananke,MinorBody
Leda,513,Jupiter,599,2451545.0,Ecliptic,11147554.48,0.1849,271.280,85.0132,232.608,27.168,216.876,20764201,Perifocal,0,0,0,10.7,0.0003470636,86400,FALSE,Himalia,MinorBody
Callirrhoe,517,Jupiter,599,2451545.0,Ecliptic,23786847.102,0.255,13.515,-233.9045,117.903,143.057,278.186,64781942,Perifocal,0,0,0,4.8,0.00003070178,35640,FALSE,Pasiphae,MinorBody
Themisto,518,Jupiter,599,2451545.0,Ecliptic,7398476.489,0.2095,236.283,25.5764,289.160,45.346,202.668,11229244,Perifocal,0,0,0,4.5,0.00002536234,86400,FALSE,Themisto,MinorBody
Magaclite,519,Jupiter,599,2451545.0,Ecliptic,23616805.556,0.4548,309.948,-254.3332,116.085,149.209,292.161,64175458,Perifocal,0,0,0,3,0.000004338295,35640,FALSE,Pasiphae,MinorBody
Taygete,520,Jupiter,599,2451545.0,Ecliptic,23117564.615,0.26,207.723,-218.8995,116.470,164.595,300.783,61999923,Perifocal,0,0,0,2.5,0.000004338295,86400,FALSE,Carme,MinorBody
Chaldene,521,Jupiter,599,2451545.0,Ecliptic,22906278.933,0.2715,231.478,171.9491,275.504,166.187,134.455,61288920,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Harpalyke,522,Jupiter,599,2451545.0,Ecliptic,20902441.166,0.1951,104.268,187.9473,255.478,147.789,35.556,53290077,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Kalyke,523,Jupiter,599,2451545.0,Ecliptic,23299198.434,0.2831,240.450,254.3297,224.984,166.196,37.708,62786940,Perifocal,0,0,0,3.5,0.00001134631,86400,FALSE,Carme,MinorBody
Iocaste,524,Jupiter,599,2451545.0,Ecliptic,21053717.039,0.3104,91.388,309.9818,182.026,149.316,268.897,53960939,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Erinome,525,Jupiter,599,2451545.0,Ecliptic,23046576.344,0.2551,359.828,177.5677,273.200,163.039,311.178,61694283,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Carme,MinorBody
Isonoe,526,Jupiter,599,2451545.0,Ecliptic,22977898.484,0.2555,131.013,-243.5628,116.350,165.345,134.071,61487459,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Praxidike,527,Jupiter,599,2451545.0,Ecliptic,20926478.132,0.1737,182.551,-212.3291,127.939,145.756,281.305,53457659,Perifocal,0,0,0,3.5,0.00001201374,86400,FALSE,Ananke,MinorBody
Autonoe,528,Jupiter,599,2451545.0,Ecliptic,23831538.536,0.3978,61.230,-298.2745,134.042,152.152,264.776,64766278,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Pasiphae,MinorBody
Thyone,529,Jupiter,599,2451545.0,Ecliptic,20990403.441,0.3176,105.068,197.0588,242.579,148.37,240.774,53618760,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Hermippe,530,Jupiter,599,2451545.0,Ecliptic,21123974.322,0.2227,277.266,-279.5138,158.467,149.301,330.328,54119223,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Aitne,531,Jupiter,599,2451545.0,Ecliptic,23065678.98,0.2698,72.179,-226.2918,120.560,165.33,358.411,61822621,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Carme,MinorBody
Eurydome,532,Jupiter,599,2451545.0,Ecliptic,22885144.216,0.3297,223.379,153.5557,281.808,149.331,297.691,61158836,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Pasiphae,MinorBody
Euanthe,533,Jupiter,599,2451545.0,Ecliptic,20820939.848,0.1913,312.350,10.7100,353.587,145.882,265.166,53043362,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Ananke,MinorBody
Euporie,534,Jupiter,599,2451545.0,Ecliptic,19267789.48,0.1256,109.620,-87.2447,56.258,146.571,63.398,47189762,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Orthosie,535,Jupiter,599,2451545.0,Ecliptic,20878515.71,0.3221,244.731,-272.1598,161.143,143.154,212.353,53329078,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Sponde,536,Jupiter,599,2451545.0,Ecliptic,23575538.054,0.4091,56.626,-386.8069,177.410,153.655,109.278,63759243,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
Kale,537,Jupiter,599,2451545.0,Ecliptic,23016326.681,0.2843,69.160,-349.7583,175.968,166.446,56.680,61777382,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Pasithee,538,Jupiter,599,2451545.0,Ecliptic,22858934.703,0.2755,207.937,245.8272,237.721,164.794,318.000,60947338,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Hegemone,539,Jupiter,599,2451545.0,Ecliptic,23387767.644,0.3375,192.184,239.0625,241.147,151.205,311.462,62966100,Perifocal,0,0,0,1.5,0.0000000934402,86400,FALSE,Pasiphae,MinorBody
Mneme,540,Jupiter,599,2451545.0,Ecliptic,20838127.061,0.262,50.118,206.0779,236.078,147.974,0.930,53015939,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Aoede,541,Jupiter,599,2451545.0,Ecliptic,23804889.432,0.4692,43.058,301.4578,207.646,159.002,156.478,64719717,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Pasiphae,MinorBody
Thelxinoe,542,Jupiter,599,2451545.0,Ecliptic,20956722.118,0.2027,306.921,143.1554,275.153,149.708,174.921,53615157,Perifocal,0,0,0,1,0.000002803206,86400,FALSE,Ananke,MinorBody
Arche,543,Jupiter,599,2451545.0,Ecliptic,23108217.909,0.2562,172.584,-64.8146,33.910,163.303,333.345,61957924,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Carme,MinorBody
Kallichore,544,Jupiter,599,2451545.0,Ecliptic,23037333.493,0.251,352.712,-124.6758,66.708,165.017,23.901,61654444,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Helike,545,Jupiter,599,2451545.0,Ecliptic,20919204.287,0.1579,305.215,-77.9190,45.698,156.021,94.566,53383320,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Ananke,MinorBody
Carpo,546,Jupiter,599,2451545.0,Ecliptic,17039196.157,0.2962,90.479,29.1932,336.640,56.582,52.113,39260160,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Carpo,MinorBody
Eukelade,547,Jupiter,599,2451545.0,Ecliptic,23065225.64,0.2607,290.047,269.1947,234.219,163.573,200.436,61835340,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Cyllene,548,Jupiter,599,2451545.0,Ecliptic,23693616.926,0.3825,174.589,-310.2766,153.234,144.168,253.637,64213016,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
Kore,549,Jupiter,599,2451545.0,Ecliptic,24200672.441,0.2345,135.327,-83.8623,40.605,137.761,324.169,66478139,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
Herse,550,Jupiter,599,2451545.0,Ecliptic,23111939.937,0.2442,344.075,-247.6287,123.121,162.691,299.462,62175721,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2010_J_1,551,Jupiter,599,2451545.0,Ecliptic,23221887.836,0.2378,175.598,336.7631,183.401,163.31,284.728,62331180,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2010_J_2,552,Jupiter,599,2451545.0,Ecliptic,20800540.498,0.1965,28.764,117.5923,292.541,146.471,357.277,52907100,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
Dia,553,Jupiter,599,2451545.0,Ecliptic,12260905.609,0.2047,164.095,30.3087,320.927,28.398,293.916,23954158,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Himalia,MinorBody
S2016_J_1,554,Jupiter,599,2451545.0,Ecliptic,20811594.27,0.2491,298.455,238.2755,215.339,143.858,247.740,52944296,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2003_J_18,555,Jupiter,599,2451545.0,Ecliptic,20334153.586,0.0926,86.047,182.5646,252.680,145.272,166.752,51177597,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2011_J_2,556,Jupiter,599,2451545.0,Ecliptic,22914997.706,0.3926,262.933,131.0389,297.573,154.508,24.858,61196524,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Pasiphae,MinorBody
Eirene,557,Jupiter,599,2451545.0,Ecliptic,23047729.135,0.2622,86.368,44.2503,336.736,164.756,180.031,61792502,Perifocal,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Philophrosyne,558,Jupiter,599,2451545.0,Ecliptic,22602590.374,0.1611,1.016,-162.3025,88.797,143.903,234.329,59979243,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2017_J_1,559,Jupiter,599,2451545.0,Ecliptic,23719680.163,0.3922,74.658,212.6135,250.072,146.072,251.839,64578660,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
Eupheme,560,Jupiter,599,2451545.0,Ecliptic,20773149.66,0.3151,73.551,34.6676,339.847,148.508,227.478,52817702,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2003_J_19,561,Jupiter,599,2451545.0,Ecliptic,23117166.33,0.2623,186.795,337.4554,196.902,164.548,21.890,62201278,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Valetudo,562,Jupiter,599,2451545.0,Ecliptic,18704515.65,0.2008,316.372,-131.6588,90.441,33.855,291.215,45107220,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Valetudo,MinorBody
S2017_J_2,563,Jupiter,599,2451545.0,Ecliptic,22951972.675,0.2612,152.982,152.2032,278.161,163.804,359.445,61380357,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2017_J_3,564,Jupiter,599,2451545.0,Ecliptic,20954429.029,0.1738,105.675,223.4016,235.405,147.342,27.923,53478602,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Pandia,565,Jupiter,599,2451545.0,Ecliptic,11480845.493,0.1614,188.683,-111.6218,158.486,27.974,249.785,21706436,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2017_J_5,566,Jupiter,599,2451545.0,Ecliptic,23182745.699,0.2496,292.531,-143.5421,69.213,165.6,42.344,62397838,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2017_J_6,567,Jupiter,599,2451545.0,Ecliptic,23256597.578,0.297,15.502,-280.1798,146.041,147.689,312.752,62594104,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
S2017_J_7,568,Jupiter,599,2451545.0,Ecliptic,20977234.707,0.3238,288.701,12.1150,352.943,148.11,264.921,53569443,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2017_J_8,569,Jupiter,599,2451545.0,Ecliptic,22821607.795,0.2399,330.519,20.1469,349.398,165.446,97.286,60861724,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2017_J_9,570,Jupiter,599,2451545.0,Ecliptic,21777621.468,0.2439,276.388,204.4848,243.261,155.448,245.316,56682539,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Ananke,MinorBody
Ersa,571,Jupiter,599,2451545.0,Ecliptic,11401311.017,0.1154,300.637,61.1251,270.840,30.632,113.732,21480362,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2011_J_1,572,Jupiter,599,2451545.0,Ecliptic,23089015.042,0.2812,50.339,266.8720,225.443,163.922,253.538,62071082,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2003_J_2,55501,Jupiter,599,2451545.0,Ecliptic,20991856.412,0.1577,170.711,-70.2911,42.176,148.224,348.390,53695138,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2003_J_4,55502,Jupiter,599,2451545.0,Ecliptic,22927131.458,0.2635,208.765,266.7458,216.459,145.452,175.440,61268219,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
S2003_J_9,55503,Jupiter,599,2451545.0,Ecliptic,23194257.962,0.2598,288.439,0.5638,359.709,165.778,46.304,62370363,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2003_J_10,55504,Jupiter,599,2451545.0,Ecliptic,23423427.032,0.2457,187.526,175.7139,272.864,163.889,155.712,63135720,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2003_J_12,55505,Jupiter,599,2451545.0,Ecliptic,20946848.346,0.2534,66.099,-282.7965,160.660,151.379,54.114,53564639,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2003_J_16,55506,Jupiter,599,2451545.0,Ecliptic,20894974.426,0.3056,55.536,110.0964,298.310,149.486,5.288,53252156,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2003_J_23,55507,Jupiter,599,2451545.0,Ecliptic,23799047.395,0.4608,256.595,-283.3417,140.589,149.756,30.940,64920900,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
S2003_J_24,55508,Jupiter,599,2451545.0,Ecliptic,22875789.445,0.272,84.129,-234.5150,121.626,164.599,208.682,61113718,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2011_J_3,55509,Jupiter,599,2451545.0,Ecliptic,11718694.585,0.1747,134.720,0.4531,359.371,29.623,123.269,22385160,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2018_J_2,55510,Jupiter,599,2451545.0,Ecliptic,11421733.568,0.1574,288.668,-79.4193,115.431,29.754,91.763,21537360,Perifocal,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2018_J_3,55511,Jupiter,599,2451545.0,Ecliptic,23440684.78,0.2499,177.477,168.8686,278.983,164.78,135.732,63200520,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2021_J_1,55512,Jupiter,599,2451545.0,Ecliptic,20973624.67,0.2035,20.677,-223.0139,129.023,148.844,241.107,53548016,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2021_J_2,55513,Jupiter,599,2451545.0,Ecliptic,20934611.115,0.2274,25.968,-183.9402,110.760,146.519,269.467,53438642,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2021_J_3,55514,Jupiter,599,2451545.0,Ecliptic,20793703.314,0.2474,218.562,-275.3300,167.853,148.6,141.741,52865879,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2021_J_4,55515,Jupiter,599,2451545.0,Ecliptic,23021563.634,0.2767,140.501,265.0207,218.924,165.45,129.865,61664164,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2021_J_5,55516,Jupiter,599,2451545.0,Ecliptic,23390153.939,0.2796,273.323,267.0443,236.577,165.369,154.401,63258002,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2021_J_6,55517,Jupiter,599,2451545.0,Ecliptic,22902566.734,0.2457,146.144,285.8057,208.480,165.522,87.242,61064522,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2016_J_3,55518,Jupiter,599,2451545.0,Ecliptic,22705866.507,0.2605,94.737,-121.9551,59.014,166.265,36.797,60459117,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2016_J_4,55519,Jupiter,599,2451545.0,Ecliptic,23145801.915,0.3924,249.353,266.3803,217.565,148.992,203.191,62038500,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Pasiphae,MinorBody
S2018_J_4,55520,Jupiter,599,2451545.0,Ecliptic,16328772.163,0.0732,285.080,-159.2402,138.151,51.971,52.130,36829261,Perifocal,0,0,0,1,0.0000002803206,86400,FALSE,Carpo,MinorBody
S2022_J_1,55521,Jupiter,599,2451545.0,Ecliptic,22748054.962,0.2642,232.494,-83.6547,42.020,164.641,310.944,60560637,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2022_J_2,55522,Jupiter,599,2451545.0,Ecliptic,23102849.858,0.265,357.041,-185.3013,98.845,165.71,47.725,61880579,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2022_J_3,55523,Jupiter,599,2451545.0,Ecliptic,21000095.518,0.147,351.455,149.2967,271.892,145.24,233.079,53778479,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2017_J_10,55525,Jupiter,599,2451545.0,Ecliptic,21061272.545,0.1008,195.341,-270.0426,157.657,142.57,329.596,54012900,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2017_J_11,55526,Jupiter,599,2451545.0,Ecliptic,23015255.711,0.2658,25.507,250.4782,236.896,166.032,134.931,61549857,Perifocal,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
Mimas,601,Saturn,699,2451545.0,Ecliptic,186022.929,0.0197,108.725,-0.0984,37.398,28.065,172.057,81425,Ecliptic,26.949,351.77,354.551,198.8,2.50349,0,FALSE,Major Saturn,PlanetaryBody
Enceladus,602,Saturn,699,2451545.0,Ecliptic,238411.289,0.0049,135.483,-0.0266,6.953,28.051,169.507,118387,Ecliptic,28.07,349.517,3.918,252.3,7.210367,0,FALSE,Major Saturn,PlanetaryBody
Tethys,603,Saturn,699,2451545.0,Ecliptic,294974.798,0.001,158.057,0.0505,350.383,28.057,167.998,163106,Ecliptic,27.797,347.192,0.452,531.1,41.21353,0,FALSE,Major Saturn,PlanetaryBody
Dione,604,Saturn,699,2451545.0,Ecliptic,377650.405,0.0022,164.935,0.2127,332.057,28.045,169.470,236470,Ecliptic,28.07,349.517,0.921,561.4,73.11607,0,FALSE,Major Saturn,PlanetaryBody
Rhea,605,Saturn,699,2451545.0,Ecliptic,527232.996,0.001,165.782,1.9223,206.902,27.978,168.984,390312,Ecliptic,28.226,348.896,2.823,763.5,153.941175,0,FALSE,Major Saturn,PlanetaryBody
Titan,606,Saturn,699,2451545.0,Ecliptic,1221947.033,0.0287,164.409,-7.2399,163.436,27.717,169.239,1377687,Ecliptic,28.054,349.174,357.026,2574.76,8978.1371,0,FALSE,Major Saturn,PlanetaryBody
Hyperion,607,Saturn,699,2451545.0,Ecliptic,1481675.276,0.1105,188.693,-4.1909,70.604,27.114,168.305,1838303,Perifocal,0,0,0,135,0.37049,1123200,FALSE,Irregular Saturn,PlanetaryBody
Iapetus,608,Saturn,699,2451545.0,Ecliptic,3561720.919,0.0283,229.658,33.5199,208.018,17.235,139.692,6854199,Ecliptic,17.276,319.608,5.164,734.3,120.51511,0,FALSE,Major Saturn,PlanetaryBody
